square square_hole triangle_hole k
0.0782934 0.367665 0.406268 1
0.0769938 0.369492 0.406033 2
0.0772991 0.36833 0.405841 3
0.0787884 0.367196 0.39998 4
0.0793521 0.373814 0.408044 5
0.0817371 0.372086 0.406933 6
0.0820284 0.370599 0.408792 7
0.0849892 0.372987 0.411767 8
0.0869587 0.376736 0.414663 9
0.0905662 0.378285 0.411553 10
0.0968752 0.378531 0.416464 11
0.0998456 0.389031 0.424923 12
0.106797 0.39168 0.420483 13
0.118653 0.393962 0.428037 14
0.124205 0.397506 0.431049 15
0.140207 0.398653 0.436384 16
0.161886 0.406809 0.434452 17
0.176412 0.407814 0.44375 18
0.185615 0.417628 0.450817 19
0.281156 0.417365 0.459523 20
0.374454 0.42102 0.463031 21
0.483099 0.31092 0.472197 22
0.598582 0.675759 0.478115 23
0.445997 0.535235 0.48919 24
0.500906 0.533983 0.322717 25
0.545941 0.533353 0.564311 26
0.614142 0.531128 0.65876 27
0.685861 0.562975 0.709063 28
0.900233 0.665379 0.761122 29
1.25639 0.760301 0.887062 30
