square square_hole triangle_hole k
0.106882 0.504501 0.536066 1
0.106835 0.500692 0.540034 2
0.106616 0.496938 0.53716 3
0.108682 0.505631 0.537676 4
0.107874 0.502459 0.541982 5
0.108762 0.499209 0.539049 6
0.110527 0.504256 0.539451 7
0.113572 0.503136 0.545342 8
0.114572 0.503587 0.546437 9
0.121701 0.509152 0.549667 10
0.126278 0.513349 0.550321 11
0.132264 0.512066 0.54712 12
0.140901 0.517187 0.5513 13
0.152142 0.517436 0.555292 14
0.162682 0.520204 0.55866 15
0.170785 0.526005 0.557776 16
0.184071 0.530395 0.572508 17
0.201217 0.530745 0.573713 18
0.216909 0.535696 0.581699 19
0.232805 0.537551 0.58889 20
0.251333 0.546255 0.590734 21
0.288696 0.555895 0.604774 22
0.327322 0.558582 0.619608 23
0.32657 0.56909 0.622817 24
0.357463 0.584197 0.640671 25
0.372032 0.593811 0.64362 26
0.456058 0.600325 0.648959 27
0.435391 0.637452 0.658962 28
0.546877 0.68718 0.668845 29
0.565835 0.73182 0.661582 30
