square square_hole triangle_hole k
0.100516 0.44408 0.50622 1
0.100274 0.441948 0.505084 2
0.102494 0.449585 0.504786 3
0.104106 0.446137 0.504006 4
0.105427 0.45921 0.509361 5
0.114838 0.444497 0.515971 6
0.12237 0.455117 0.518115 7
0.133209 0.466915 0.521028 8
0.143115 0.481581 0.52463 9
0.168441 0.477032 0.529774 10
0.18694 0.478956 0.537856 11
0.225047 0.501907 0.548218 12
0.25128 0.509125 0.563388 13
0.303806 0.523398 0.571516 14
0.336354 0.539525 0.581222 15
0.403985 0.549835 0.596041 16
0.458472 0.570144 0.605187 17
0.523667 0.611373 0.617831 18
0.573731 0.636257 0.662329 19
0.700825 0.691643 0.716906 20
0.819675 0.756561 0.794436 21
0.971288 0.792884 0.935218 22
1.11491 0.861969 1.07104 23
1.03958 1.08706 1.16434 24
1.07418 1.14645 1.24553 25
1.1483 1.23291 1.22214 26
1.16764 1.31441 1.1426 27
1.30356 1.36239 1.36213 28
1.2743 1.33388 1.39479 29
1.30449 1.25703 1.38754 30
