square square_hole triangle_hole k
0.193043 0.450251 0.502998 1
0.199602 0.448284 0.501958 2
0.207404 0.450356 0.505835 3
0.220196 0.457873 0.505999 4
0.239083 0.453852 0.509197 5
0.26475 0.46034 0.51458 6
0.29739 0.466162 0.523396 7
0.339393 0.471892 0.524809 8
0.391738 0.47818 0.535653 9
0.460724 0.484319 0.525634 10
0.558191 0.500788 0.546079 11
0.215872 0.504862 0.546797 12
0.251091 0.500709 0.564583 13
0.318056 0.528318 0.564218 14
0.329603 0.538903 0.580897 15
0.406789 0.537989 0.586006 16
0.564038 0.552738 0.613692 17
0.708731 0.570361 0.617238 18
0.827847 0.640004 0.665111 19
0.939243 0.696719 0.717568 20
1.01728 0.732411 0.791653 21
1.11354 0.830095 0.937299 22
1.2451 0.928742 1.07073 23
1.33005 1.07387 0.959444 24
1.53762 1.3956 1.10495 25
2.06594 1.48207 1.27318 26
3.34199 1.54876 1.42425 27
4.56665 1.46676 1.46154 28
5.61736 1.28167 1.6914 29
5.3994 1.36399 1.94409 30
