square square_hole triangle_hole k
0.0782935 0.367654 0.406232 1
0.0769939 0.369482 0.406033 2
0.0772988 0.368308 0.405847 3
0.0787886 0.367159 0.399954 4
0.0793514 0.373786 0.408033 5
0.0817363 0.372073 0.40693 6
0.082028 0.370576 0.4088 7
0.0849888 0.372945 0.411757 8
0.0869594 0.376761 0.414686 9
0.0905395 0.37824 0.412433 10
0.096852 0.378491 0.416474 11
0.100529 0.383445 0.420059 12
0.108722 0.380534 0.417024 13
0.120025 0.385534 0.42546 14
0.128049 0.387686 0.429052 15
0.137643 0.392429 0.434361 16
0.152647 0.396294 0.432843 17
0.161126 0.400886 0.443181 18
0.17279 0.411887 0.451362 19
0.192658 0.412849 0.46077 20
0.196508 0.413999 0.464855 21
0.219592 0.429638 0.473505 22
0.260483 0.433532 0.47894 23
0.262554 0.440556 0.486759 24
0.307009 0.432686 0.516349 25
0.306381 0.458663 0.512612 26
0.361801 0.447319 0.516498 27
0.408558 0.521935 0.513922 28
0.428213 0.562075 0.533829 29
0.438928 0.525013 0.557697 30
