square square_hole triangle_hole k
0.190812 0.368059 0.405558 1
0.192286 0.365409 0.404595 2
0.194555 0.369915 0.405621 3
0.197945 0.371945 0.403876 4
0.202488 0.370401 0.407698 5
0.207989 0.369773 0.40776 6
0.214653 0.373212 0.407784 7
0.222803 0.374628 0.411861 8
0.232187 0.37622 0.407953 9
0.243211 0.375078 0.417114 10
0.254516 0.379778 0.415473 11
0.26753 0.378942 0.419134 12
0.282067 0.384424 0.424919 13
0.298384 0.381984 0.425852 14
0.317131 0.390309 0.42872 15
0.335755 0.390822 0.436286 16
0.356615 0.395842 0.438018 17
0.380831 0.402384 0.44087 18
0.408549 0.407377 0.447596 19
0.439346 0.413991 0.456916 20
0.47726 0.418708 0.471707 21
0.522485 0.425842 0.470611 22
0.580347 0.429458 0.481698 23
0.258309 0.441316 0.487889 24
0.295718 0.443633 0.494842 25
0.305871 0.461583 0.504067 26
0.339975 0.446614 0.5247 27
0.359615 0.519938 0.528697 28
0.416555 0.562227 0.545379 29
0.457845 0.600113 0.553124 30
