square square_hole triangle_hole k
0.0782934 0.367665 0.406268 1
0.0769938 0.369492 0.406033 2
0.0772991 0.36833 0.405842 3
0.0787885 0.367195 0.399979 4
0.0793521 0.373814 0.408043 5
0.0817363 0.372086 0.406116 6
0.082028 0.370598 0.408789 7
0.085284 0.383547 0.420204 8
0.0870095 0.384628 0.422263 9
0.0905781 0.386888 0.418873 10
0.0963899 0.387909 0.421502 11
0.0999041 0.391352 0.42529 12
0.107421 0.394789 0.421652 13
0.116812 0.396784 0.428288 14
0.118873 0.400737 0.431496 15
0.14649 0.47148 0.45562 16
0.135043 0.470421 0.451581 17
0.177564 0.465909 0.457802 18
0.186402 0.466988 0.459746 19
0.268164 0.461856 0.46498 20
0.348634 0.460917 0.468141 21
0.418662 0.464345 0.47486 22
0.473277 0.465652 0.480113 23
0.43483 0.542763 0.494814 24
0.493756 0.537899 0.49912 25
0.535714 0.536206 0.571579 26
0.607493 0.533054 0.658171 27
0.681858 0.552483 0.719774 28
0.899405 0.6647 0.766597 29
1.27627 0.763549 0.886737 30
